metric,adjuster,dataset,value
baseline,NA,simulated_expression,0.5
RandomForest,unadjusted,simulated_expression,0.9981333333333332
RandomForest,scaled,simulated_expression,0.9993333333333334
RandomForest,combat,simulated_expression,0.9961333333333333
RandomForest,confounded,simulated_expression,0.9150666666666666
