metric,adjuster,dataset,value
baseline,NA,simulated_expression,0.5
RandomForest,unadjusted,simulated_expression,0.9920666666666667
RandomForest,scaled,simulated_expression,1.0
RandomForest,combat,simulated_expression,0.872
RandomForest,confounded,simulated_expression,0.7344666666666667
