metric,adjuster,dataset,value
baseline,NA,simulated_expression,0.5
RandomForest,unadjusted,simulated_expression,0.9971326455283674
RandomForest,scaled,simulated_expression,1.0
RandomForest,combat,simulated_expression,0.5427762473217018
RandomForest,confounded,simulated_expression,0.8256045301499847
