metric,adjuster,dataset,value
baseline,NA,simulated_expression,0.5
RandomForest,unadjusted,simulated_expression,0.9860053295882173
RandomForest,scaled,simulated_expression,1.0
RandomForest,combat,simulated_expression,0.7776247321701867
RandomForest,confounded,simulated_expression,0.4971011361385693
