metric,adjuster,dataset,value
baseline,NA,simulated_expression,0.5
RandomForest,unadjusted,simulated_expression,0.9967333333333334
RandomForest,scaled,simulated_expression,1.0
RandomForest,combat,simulated_expression,0.6444
RandomForest,confounded,simulated_expression,0.8766000000000002
